TransactionID,Date,CustomerID,Product,Category,Region,Quantity,UnitPrice,Sales,PaymentMethod,Channel
1,2026-08-06,C2846,Mouse,Accessories,North,10,1350,13500,Net Banking,Online
2,2026-07-21,C2886,Keyboard,Accessories,North,9,3063,27567,UPI,Distributor
3,2026-05-23,C1795,Mouse,Accessories,Northeast,7,1537,10759,Cash,Distributor
4,2026-07-15,C1117,Office Chair,Furniture,East,2,9203,18406,Net Banking,Distributor
5,2026-11-24,C1423,Keyboard,Accessories,South,3,3296,9888,Net Banking,Store
6,2026-06-25,C2400,Desk,Furniture,North,6,15099,90594,Net Banking,Store
7,2026-06-09,C1509,Office Chair,Furniture,East,1,10254,10254,Cash,Store
8,2026-02-11,C2815,Mobile,Electronics,Central,6,25767,154602,Net Banking,Distributor
9,2026-01-09,C2040,Office Chair,Furniture,South,4,9151,36604,Debit Card,Online
10,2026-03-12,C2250,Mobile,Electronics,West,10,27298,272980,Cash,Distributor
11,2026-08-02,C2962,Keyboard,Accessories,West,3,2801,8403,Debit Card,Online
12,2026-03-22,C2792,Printer,Office,South,6,11676,70056,Credit Card,Distributor
13,2026-02-20,C2298,Printer,Office,East,2,12480,24960,Cash,Online
14,2026-10-18,C1081,Headphones,Accessories,South,8,4331,34648,UPI,Online
15,2026-07-26,C1637,Monitor,Electronics,Central,7,20521,143647,Cash,Distributor
16,2026-09-16,C1305,Printer,Office,North,9,12431,111879,Net Banking,Store
17,2026-07-16,C1544,Mouse,Accessories,South,2,1476,2952,Credit Card,Distributor
18,2026-01-23,C2633,Mobile,Electronics,Northeast,8,25137,201096,Cash,Distributor
19,2026-02-21,C2213,Keyboard,Accessories,Northeast,4,3126,12504,Debit Card,Distributor
20,2026-03-24,C2194,Mouse,Accessories,Central,3,1549,4647,Cash,Store
21,2026-09-09,C1723,Monitor,Electronics,South,1,21298,21298,Debit Card,Store
22,2026-07-05,C2026,Laptop,Electronics,West,6,63877,383262,Net Banking,Store
23,2026-07-22,C2224,Office Chair,Furniture,East,7,10921,76447,UPI,Store
24,2026-06-23,C2522,Office Chair,Furniture,East,1,9419,9419,Cash,Online
25,2026-07-21,C1120,Monitor,Electronics,North,7,21970,153790,Cash,Store
26,2026-01-01,C2882,Keyboard,Accessories,West,1,3274,3274,Credit Card,Online
27,2026-10-09,C1319,Headphones,Accessories,Central,4,4266,17064,Cash,Store
28,2026-03-16,C1586,Printer,Office,South,9,12776,114984,Debit Card,Store
29,2026-06-02,C1682,Mouse,Accessories,Central,1,1416,1416,Debit Card,Distributor
30,2026-07-22,C2212,Mobile,Electronics,Northeast,10,26777,267770,Net Banking,Store
31,2026-07-14,C1228,Desk,Furniture,Northeast,6,13941,83646,Credit Card,Online
32,2026-07-13,C2785,Mouse,Accessories,North,7,1550,10850,UPI,Store
33,2026-01-27,C1437,Tablet,Electronics,North,9,31484,283356,UPI,Distributor
34,2026-03-21,C2087,Mobile,Electronics,North,4,26520,106080,Cash,Distributor
35,2026-07-28,C1423,Office Chair,Furniture,East,1,9764,9764,UPI,Distributor
36,2026-12-15,C1361,Mouse,Accessories,West,7,1440,10080,Credit Card,Distributor
37,2026-01-23,C2265,Keyboard,Accessories,East,1,3145,3145,Net Banking,Online
38,2026-11-21,C1499,Keyboard,Accessories,Central,4,2960,11840,Net Banking,Distributor
39,2026-05-29,C1912,Mobile,Electronics,West,9,24743,222687,Debit Card,Online
40,2026-07-02,C1559,Printer,Office,North,4,10846,43384,Credit Card,Online
41,2026-03-11,C1657,Keyboard,Accessories,Central,2,2830,5660,UPI,Online
42,2026-05-18,C2841,Printer,Office,East,1,12117,12117,Credit Card,Online
43,2026-02-28,C1281,Tablet,Electronics,North,3,30864,92592,Net Banking,Store
44,2026-04-04,C1771,Monitor,Electronics,East,10,20709,207090,UPI,Distributor
45,2026-07-12,C1509,Mobile,Electronics,Central,1,27472,27472,Credit Card,Store
46,2026-12-10,C2059,Tablet,Electronics,Central,3,32853,98559,UPI,Distributor
47,2026-06-13,C2553,Keyboard,Accessories,East,1,2777,2777,Debit Card,Online
48,2026-07-10,C1016,Laptop,Electronics,Central,5,62800,314000,UPI,Store
49,2026-10-24,C2493,Office Chair,Furniture,West,5,10363,51815,Debit Card,Distributor
50,2026-04-28,C1554,Laptop,Electronics,South,4,64174,256696,UPI,Store
51,2026-04-09,C1194,Laptop,Electronics,Northeast,8,61606,492848,Cash,Distributor
52,2026-12-09,C2915,Desk,Furniture,West,10,14456,144560,Debit Card,Store
53,2026-01-11,C2506,Mobile,Electronics,East,4,26966,107864,Net Banking,Online
